Player,
Team,ppg,gp,fgPercentage,
Aaron Nesmith,IND,12.2,72,49.6,
Ayo Dosunmu,CHI,12.2,76,50.1,
Buddy Hield,PHI,12.1,84,43.6,
Tyus Jones,WAS,12.0,66,48.9,
Jaime Jaquez Jr.,MIA,11.9,75,48.9,
Nic Claxton,BKN,11.8,71,62.9,
Ivica Zubac,LAC,11.7,68,64.9,
Marvin Bagley III,WAS,11.7,50,58.6,
Jeremy Sochan,SAS,11.6,74,43.8,
Cole Anthony,ORL,11.6,81,43.5,
Clint Capela,ATL,11.5,73,57.1,
Mike Conley,MIN,11.4,76,45.7,
Brandon Clarke,MEM,11.3,6,55.9,
Malik Beasley,MIL,11.3,79,44.3,
Zach Collins,SAS,11.2,69,48.4,
Jakob Poeltl,TOR,11.1,50,65.6,
Russell Westbrook,LAC,11.1,68,45.4,
De'Anthony Melton,PHI,11.1,38,38.6,
Eric Gordon,PHX,11.0,68,44.3,
Herbert Jones,NOP,11.0,76,49.8,
Daniel Gafford,DAL,11.0,74,72.5,
Luke Kennard,MEM,11.0,39,44.8,
Wendell Carter Jr.,ORL,11.0,55,52.5,
Isaiah Stewart,DET,10.9,46,48.7,
Jusuf Nurkić,PHX,10.9,76,51.0,
Luguentz Dort,OKC,10.9,79,43.8,
Moritz Wagner,ORL,10.9,80,60.1,
Bruce Brown,TOR,10.8,67,47.8,
Jake LaRavia,MEM,10.8,35,38.9,
Santi Aldama,MEM,10.7,61,43.5,
Jaden McDaniels,MIN,10.5,72,48.9,
Simone Fontecchio,DET,10.5,66,46.0,
Spencer Dinwiddie,LAL,10.5,76,39.2,
Alec Burks,NYK,10.4,66,36.9,
Grant Williams,CHA,10.3,76,45.6,
Dalano Banton,POR,10.3,54,40.4,
Obi Toppin,IND,10.3,82,57.3,
T.J. McConnell,IND,10.2,71,55.6,
Kevin Huerter,SAC,10.2,64,44.3,
Onyeka Okongwu,ATL,10.2,55,61.1,
Reggie Jackson,DEN,10.2,82,43.1,
Talen Horton-Tucker,UTA,10.1,51,39.6,
Kentavious Caldwell-Pope,DEN,10.1,76,46.0,
Alex Caruso,CHI,10.1,71,46.8,
Vince Williams Jr.,MEM,10.0,52,44.6,
Tre Jones,SAS,10.0,77,50.5,
Caleb Martin,MIA,10.0,64,43.1,
Patrick Williams,CHI,10.0,43,44.3,
Josh Richardson,MIA,9.9,43,44.4,
Jalen Smith,IND,9.9,61,59.2,
Gordon Hayward,OKC,9.8,51,46.4,
Tari Eason,HOU,9.8,22,46.6,
Kelly Olynyk,TOR,9.8,78,55.5,
Lonnie Walker IV,BKN,9.7,58,42.3,
Nick Richards,CHA,9.7,67,69.1,
Payton Pritchard,BOS,9.6,82,46.8,
Amen Thompson,HOU,9.5,62,53.6,
Josh Hart,NYK,9.4,81,43.4,
Isaac Okoro,CLE,9.4,69,49.0,
Georges Niang,CLE,9.4,82,44.9,
Tre Mann,CHA,9.3,41,45.9,
Brandin Podziemski,GSW,9.2,74,45.4,
Andrew Nembhard,IND,9.2,68,49.8,
Malaki Branham,SAS,9.2,75,43.2,
Chris Paul,GSW,9.2,58,44.1,
Duop Reath,POR,9.1,68,46.1,
Sam Hauser,BOS,9.0,79,44.6,
Taurean Prince,LAL,8.9,78,44.2,
Jabari Walker,POR,8.9,72,46.0,
Ausar Thompson,DET,8.8,63,48.3,
Kevin Love,MIA,8.8,55,44.0,
Dereck Lively II,DAL,8.8,55,74.7,
Terance Mann,LAC,8.8,75,51.5,
Al Horford,BOS,8.6,65,51.1,
Derrick Jones Jr.,DAL,8.6,76,48.3,
Draymond Green,GSW,8.6,55,49.7,
Dorian Finney-Smith,BKN,8.5,68,42.1,
Gradey Dick,TOR,8.5,60,42.5,
Tristan Vukcevic,WAS,8.5,10,43.3,
Bilal Coulibaly,WAS,8.4,63,43.5,
Andre Drummond,CHI,8.4,79,55.6,
Miles McBride,NYK,8.3,68,45.2,
Marcus Sasser,DET,8.3,71,42.8,
Ziaire Williams,MEM,8.2,51,39.7,
Josh Green,DAL,8.2,57,47.9,
Isaiah Joe,OKC,8.2,78,45.8,
Kyle Lowry,PHI,8.1,60,43.2,
Walker Kessler,UTA,8.1,64,65.4,
Moses Moody,GSW,8.1,66,46.2,
Dario Šarić,GSW,8.0,64,46.6,
Nickeil Alexander-Walker,MIN,8.0,82,43.9,
Derrick Rose,MEM,8.0,24,46.1,
Sam Merrill,CLE,8.0,61,40.2,
Trayce Jackson-Davis,GSW,7.9,68,70.2,
Jordan Hawkins,NOP,7.8,67,38.2,
Markelle Fultz,ORL,7.8,43,47.2,
Danté Exum,DAL,7.8,55,53.3,
Isaiah Hartenstein,NYK,7.8,75,64.4,
Royce O'Neale,PHX,7.7,79,39.7,
RaiQuan Gray,SAS,7.7,3,58.8,
Nikola Jović,MIA,7.7,46,45.2,
Precious Achiuwa,NYK,7.6,74,50.1,
Cody Martin,CHA,7.5,28,38.1,
Brice Sensabaugh,UTA,7.5,32,39.0,
Toumani Camara,POR,7.5,70,45.0,
Cameron Payne,PHI,7.4,78,43.2,
Christian Braun,DEN,7.3,82,46.0,
Paul Reed,PHI,7.3,82,54.0,
Taylor Hendricks,UTA,7.3,40,45.0,
Jaden Hardy,DAL,7.3,73,40.7,
Trey Lyles,SAC,7.2,58,44.5,
Johnny Juzang,UTA,7.2,20,46.4,
Kevin Knox II,DET,7.2,31,46.2,
Lamar Stevens,MEM,7.2,38,45.0,
Landry Shamet,WAS,7.1,46,43.1,
Jose Alvarado,NOP,7.1,56,41.2,
James Wiseman,DET,7.1,63,61.3,
Naji Marshall,NOP,7.1,66,46.3,
Quentin Grimes,DET,7.0,51,37.2,
Vasilije Micić,CHA,7.0,60,43.0,
Jordan Nwora,TOR,7.0,52,46.2,
Javon Freeman-Liberty,TOR,7.0,22,44.4,
Aaron Wiggins,OKC,6.9,78,56.2,
Christian Wood,LAL,6.9,50,46.6,
Bones Hyland,LAC,6.9,37,38.6,
Gary Harris,ORL,6.9,54,44.1,
Killian Hayes,DET,6.9,42,41.3,
Evan Fournier,DET,6.9,32,35.7,
Maozinha Pereira,MEM,6.9,7,51.4,
Trendon Watford,BKN,6.9,63,52.7,
Cason Wallace,OKC,6.8,82,49.1,
Trey Jemison III,MEM,6.8,25,55.1,
Robert Williams III,POR,6.8,6,65.4,
Julian Champagnie,SAS,6.8,74,40.8,
Day'Ron Sharpe,BKN,6.8,61,57.1,
Cedi Osman,SAS,6.8,72,47.9,
Jonathan Isaac,ORL,6.8,58,51.0,
Davis Bertans,CHA,6.7,43,39.3,
Jahmi'us Ramsey,TOR,6.7,7,43.9,
Peyton Watson,DEN,6.7,80,46.5,
Amir Coffey,LAC,6.6,70,47.2,
Aaron Holiday,HOU,6.6,78,44.6,
Dennis Smith Jr.,BKN,6.6,56,43.5,
David Roddy,PHX,6.5,65,40.3,
Jeff Green,HOU,6.5,78,45.6,
Chimezie Metu,DET,6.5,51,50.4,
David Duke Jr.,SAS,6.5,4,55.6,
Jordan Goodwin,MEM,6.5,57,36.9,
Marcus Morris Sr.,CLE,6.4,49,43.9,
Chris Boucher,TOR,6.4,50,50.7,
Kyle Anderson,MIN,6.4,79,46.0,
Isaiah Jackson,IND,6.4,60,66.5,
Jared Butler,WAS,6.3,40,48.8,
Bruno Fernando,ATL,6.3,45,58.3,
Daniel Theis,LAC,6.3,60,53.2,
Jae Crowder,MIL,6.2,50,42.2,
Jaylen Nowell,DET,6.2,13,43.6,
Keon Johnson,BKN,6.2,5,38.1,
Patrick Beverley,MIL,6.2,73,41.7,
Haywood Highsmith,MIA,6.1,66,46.5,
Vít Krejčí,ATL,6.1,22,49.0,
Ben Simmons,BKN,6.1,15,58.1,
Kris Murray,POR,6.1,62,39.6,
Zavier Simpson,MEM,6.0,7,31.5,
Tosan Evbuomwan,DET,5.9,17,50.7,
Justin Champagnie,WAS,5.9,15,41.0,
Nick Smith Jr.,CHA,5.9,51,39.1,
Ochai Agbaji,TOR,5.8,78,41.1,
Dyson Daniels,NOP,5.8,61,44.7,
Noah Clowney,BKN,5.8,23,53.8,
Larry Nance Jr.,NOP,5.7,61,57.3,
Torrey Craig,CHI,5.7,53,43.0,
Danilo Gallinari,MIL,5.7,49,43.7,
Thomas Bryant,MIA,5.7,38,57.7,
Pat Connaughton,MIL,5.6,76,43.5,
Craig Porter Jr.,CLE,5.6,51,50.9,
Mitchell Robinson,NYK,5.6,31,57.5,
Malachi Flynn,DET,5.5,69,41.8,
Dexter Dennis,DAL,5.5,4,52.6,
Neemias Queta,BOS,5.5,28,64.4,
Doug McDermott,IND,5.5,64,43.3,
Gary Payton II,GSW,5.5,44,56.3,
Matisse Thybulle,POR,5.4,65,39.7,
Keon Ellis,SAC,5.4,57,46.1,
Matt Ryan,NOP,5.4,28,43.4,
Cam Reddish,LAL,5.4,48,38.9,
Kris Dunn,UTA,5.4,66,47.0,
Ricky Council IV,PHI,5.4,32,48.2,
Dean Wade,CLE,5.4,54,41.4,
Sasha Vezenkov,SAC,5.4,42,44.0,
Darius Bazley,UTA,5.3,9,60.0,
Nicolas Batum,PHI,5.3,60,45.3,
Mason Plumlee,LAC,5.3,46,56.9,
Luke Kornet,BOS,5.3,63,70.0,
Stanley Umude,DET,5.3,24,44.0,
Davion Mitchell,SAC,5.3,72,45.2,
Xavier Tillman,BOS,5.3,54,43.4,
Brandon Boston Jr.,LAC,5.2,32,40.4,
Aleksej Pokusevski,CHA,5.2,28,40.5,
Bol Bol,PHX,5.2,43,61.6,
Jarred Vanderbilt,LAL,5.2,29,51.8,
Seth Curry,CHA,5.1,44,39.2,
Bryce McGowens,CHA,5.1,59,43.9,
Drew Eubanks,PHX,5.1,75,60.1,
Goga Bitadze,ORL,5.0,62,60.3,
D.J. Wilson,PHI,5.0,2,66.7,
Kobi Simmons,TOR,5.0,4,42.9,
Jalen Wilson,BKN,5.0,43,42.5,
Richaun Holmes,WAS,5.0,40,55.8,
Monté Morris,MIN,5.0,33,40.5,
Jevon Carter,CHI,5.0,72,37.8,
Devonte' Graham,SAS,5.0,23,35.2,
Isaiah Livers,DET,5.0,23,34.5,
Garrison Mathews,ATL,4.9,66,45.6,
Jock Landale,HOU,4.9,56,51.5,
Jared Rhoden,DET,4.9,17,50.0,
Eugene Omoruyi,WAS,4.8,43,48.5,
DeJon Jarreau,MEM,4.8,9,34.0,
Kobe Bufkin,ATL,4.8,17,37.0,
Kenrich Williams,OKC,4.7,69,46.8,
Omer Yurtseven,UTA,4.6,48,53.8,
Josh Okogie,PHX,4.6,60,41.7,
Anthony Black,ORL,4.6,69,46.6,
Kenneth Lofton Jr.,UTA,4.6,21,46.2,
Julian Strawther,DEN,4.5,50,36.9,
Kevon Looney,GSW,4.5,74,59.7,
AJ Green,MIL,4.5,56,42.3,
Shake Milton,NYK,4.5,48,40.5,
Taze Moore,POR,4.5,4,42.1,
Delon Wright,MIA,4.5,47,39.4,
Maxi Kleber,DAL,4.4,43,43.2,
Mo Bamba,PHI,4.4,57,49.0,
Lester Quinones,GSW,4.4,37,39.7,
Jontay Porter,TOR,4.4,26,38.5,
Ben Sheppard,IND,4.4,57,39.3,
Patrick Baldwin Jr.,WAS,4.4,38,38.1,
MarJon Beauchamp,MIL,4.4,48,48.8,
Blake Wesley,SAS,4.4,61,47.4,
Robert Covington,PHI,4.4,29,43.9,
Dominick Barlow,SAS,4.4,33,49.6,
Joe Ingles,ORL,4.4,68,43.6,
Bismack Biyombo,OKC,4.4,40,56.5,
Dru Smith,MIA,4.3,9,45.5,
Jeff Dowtin Jr.,PHI,4.3,12,55.6,
Jaxson Hayes,LAL,4.3,70,72.0,
Caleb Houstan,ORL,4.3,59,38.8,
John Konchar,MEM,4.3,55,42.3,
Max Christie,LAL,4.2,67,42.7,
Danuel House Jr.,PHI,4.2,34,44.8,
Jacob Gilyard,BKN,4.2,41,40.0,
Ashton Hagans,POR,4.2,19,40.8,
Armoni Brooks,BKN,4.2,10,32.6,
Troy Brown Jr.,DET,4.2,59,37.2,
Thaddeus Young,PHX,4.2,33,60.2,
Sandro Mamukelashvili,SAS,4.1,46,47.1,
Luka Samanic,UTA,4.1,43,38.0,
Skylar Mays,LAL,4.1,38,39.6,
Jae'Sean Tate,HOU,4.1,65,47.2,
Justin Holiday,DEN,4.0,58,45.4,
Ousmane Dieng,OKC,4.0,33,42.2,
JaVale McGee,SAC,4.0,46,59.8,
Adama Sanogo,CHI,4.0,9,51.9,
Izaiah Brockington,NOP,4.0,1,40.0,
Jaylin Williams,OKC,4.0,69,41.7,
Matt Hurt,MEM,4.0,8,35.3,
Mouhamed Gueye,ATL,4.0,6,34.8,
Rayan Rupert,POR,4.0,39,33.5,
Patty Mills,MIA,4.0,32,35.1,
Luka Garza,MIN,4.0,25,48.0,
Svi Mykhailiuk,BOS,4.0,41,41.6,
DeAndre Jordan,DEN,3.9,36,62.4,
Chris Duarte,SAC,3.9,59,38.1,
Jules Bernard,WAS,3.9,19,45.3,
Anthony Gill,WAS,3.8,50,46.9,
Sidy Cissoko,SAS,3.8,12,48.5,
KJ Martin,PHI,3.7,60,53.6,
Jamal Cain,MIA,3.7,26,43.0,
T.J. Warren,MIN,3.7,11,43.9,
Keita Bates-Diop,BKN,3.7,53,43.4,
Drew Peterson,BOS,3.7,3,66.7,
Oshae Brissett,BOS,3.7,55,44.4,
Jarace Walker,IND,3.6,33,40.9,
Collin Gillespie,DEN,3.6,24,46.4,
Lindy Waters III,OKC,3.6,38,47.1,
James Bouknight,CHA,3.6,14,43.9,
Gui Santos,GSW,3.6,23,50.9,
Jordan McLaughlin,MIN,3.5,56,48.3,
Onuralp Bitim,CHI,3.5,23,38.1,
Theo Maledon,PHX,3.5,17,28.6,
Yuta Watanabe,MEM,3.4,34,35.3,
Moses Brown,POR,3.4,22,50.8,
Buddy Boeheim,DET,3.4,10,31.0,
Wenyen Gabriel,MEM,3.4,5,36.4,
Ryan Rollins,MIL,3.4,13,51.9,
Jalen McDaniels,TOR,3.4,50,34.4,
Nassir Little,PHX,3.4,45,46.0,
Marques Bolden,CHA,3.4,11,68.0,
Jaden Springer,BOS,3.3,49,39.9,
Charles Bassey,SAS,3.3,19,72.5,
Micah Potter,UTA,3.3,16,47.5,
Dwight Powell,DAL,3.3,63,67.9,
Tristan Thompson,CLE,3.3,49,61.3,
Garrett Temple,TOR,3.3,27,37.2,
Oscar Tshiebwe,IND,3.3,8,50.0,
Terquavion Smith,PHI,3.3,16,39.1,
A.J. Lawson,DAL,3.2,42,44.6,
Ish Smith,CHA,3.2,43,41.8,
Boban Marjanović,HOU,3.2,14,52.9,
Zeke Nnaji,DEN,3.2,58,46.3,
Kira Lewis Jr.,UTA,3.2,28,37.0,
Brandon Williams,DAL,3.2,17,37.0,
JT Thor,CHA,3.2,63,43.7,
Gabe Vincent,LAL,3.1,11,30.6,
Wesley Matthews,ATL,3.1,36,35.1,
Dalen Terry,CHI,3.1,59,43.9,
Johnny Davis,WAS,3.0,50,40.3,
Olivier-Maxence Prosper,DAL,3.0,40,38.5,
Mike Muscala,OKC,3.0,53,35.9,
Saben Lee,PHX,3.0,24,36.4,
Jeremiah Robinson-Earl,NOP,2.9,39,47.4,
Nate Williams,HOU,2.9,22,54.0,
Trevelin Queen,ORL,2.9,14,36.8,
D.J. Carton,TOR,2.8,4,37.5,
Henri Drell,CHI,2.8,4,40.0,
Orlando Robinson,MIA,2.8,36,50.0,
Damian Jones,CLE,2.7,39,59.7,
Emoni Bates,CLE,2.7,15,30.6,
Malik Williams,TOR,2.7,7,26.5,
Leaky Black,CHA,2.7,26,48.1,
Moussa Diabate,LAC,2.6,11,52.6,
Otto Porter Jr.,TOR,2.6,15,42.4,
Timmy Allen,MEM,2.6,5,26.1,
Markieff Morris,DAL,2.5,26,33.8,
Dylan Windler,ATL,2.5,17,50.0,
Furkan Korkmaz,PHI,2.5,35,39.5,
Alex Fudge,DAL,2.5,6,40.0,
Alex Len,SAC,2.5,48,61.7,
Greg Brown III,DAL,2.5,6,45.5,
Joe Harris,DET,2.4,16,35.9,
Harry Giles III,LAL,2.4,23,46.0,
Cory Joseph,GSW,2.4,26,35.9,
AJ Griffin,ATL,2.4,20,29.0,
Mouhamadou Gueye,TOR,2.4,11,28.9,
Xavier Moon,LAC,2.4,14,32.6,
Cole Swider,MIA,2.3,18,39.5,
Dereon Seabron,NOP,2.3,6,30.8,
Jamaree Bouyea,SAS,2.3,9,35.7,
Amari Bailey,CHA,2.3,10,33.3,
Isaiah Mobley,CLE,2.3,10,41.7,
Chuma Okeke,ORL,2.3,47,35.7,
Olivier Sarr,OKC,2.3,15,57.9,
Julian Phillips,CHI,2.2,40,41.6,
Nate Hinton,HOU,2.2,15,42.3,
Andre Jackson Jr.,MIL,2.2,57,50.0,
Udoka Azubuike,PHX,2.2,16,69.6,
Trent Forrest,ATL,2.2,38,37.8,
Reggie Bullock Jr.,HOU,2.2,44,41.5,
Colby Jones,SAC,2.1,30,39.4,
Ish Wainright,PHX,2.1,11,29.2,
Jericho Sims,NYK,2.0,45,69.1,
Kobe Brown,LAC,2.0,44,41.1,
D'Moi Hodge,LAL,2.0,7,33.3,
Isaiah Wong,IND,2.0,1,33.3,
JD Davison,BOS,2.0,8,41.7,
Jordan Ford,SAC,2.0,6,57.1,
Kevon Harris,ORL,2.0,2,66.7,
Lindell Wigginton,MIL,2.0,3,40.0,
Mamadi Diakite,NYK,2.0,6,66.7,
Markquis Nowell,TOR,2.0,1,0.0,
Ty Jerome,CLE,2.0,2,50.0,
Daishen Nix,MIN,1.8,15,37.5,
Justin Minaya,POR,1.8,34,29.7,
Cody Zeller,NOP,1.8,43,41.9,
Kessler Edwards,SAC,1.7,54,41.5,
Jason Preston,UTA,1.7,7,31.6,
Leonard Miller,MIN,1.7,17,65.0,
Taj Gibson,DET,1.7,20,40.5,
P.J. Tucker,LAC,1.7,31,36.0,
Jordan Walsh,BOS,1.7,9,40.0,
Jordan Miller,LAC,1.6,8,55.6,
Jalen Hood-Schifino,LAL,1.6,21,22.2,
Jett Howard,ORL,1.6,18,33.3,
Josh Minott,MIN,1.6,32,47.2,
Jalen Pickett,DEN,1.6,27,42.9,
Seth Lundy,ATL,1.6,9,23.5,
Ibou Badji,POR,1.5,22,63.6,
Adam Flagler,OKC,1.5,2,14.3,
Colin Castleton,LAL,1.5,16,56.3,
Dariq Whitehead,BKN,1.5,2,20.0,
Jack White,MEM,1.5,4,12.5,
Terry Taylor,CHI,1.5,31,51.3,
Jacob Toppin,NYK,1.4,9,55.6,
Jermaine Samuels Jr.,HOU,1.4,14,64.3,
Jerome Robinson,GSW,1.4,22,33.3,
Kendall Brown,IND,1.4,15,53.3,
Mason Jones,SAC,1.4,5,25.0,
Isaiah Thomas,PHX,1.3,6,30.0,
Nathan Mensah,CHA,1.3,25,42.9,
TyTy Washington Jr.,MIL,1.3,11,30.0,
R.J. Hampton,MIA,1.3,8,28.6,
Chris Livingston,MIL,1.2,21,50.0,
Keyontae Johnson,OKC,1.2,9,31.3,
Jay Huff,DEN,1.2,20,60.0,
Admiral Schofield,ORL,1.1,23,38.5,
Robin Lopez,MIL,1.1,16,36.8,
Hunter Tyson,DEN,1.1,18,40.0,
Braxton Key,DEN,1.1,20,41.2,
Filip Petrusev,SAC,1.0,3,50.0,
Frank Ntilikina,CHA,1.0,5,11.1,
Hamidou Diallo,WAS,1.0,2,50.0,
Joshua Primo,LAC,1.0,2,33.3,
Thanasis Antetokounmpo,MIL,0.9,34,53.3,
James Johnson,IND,0.9,9,30.0,
DaQuan Jeffries,NYK,0.8,17,35.3,
Charlie Brown Jr.,NYK,0.8,8,20.0,
Wendell Moore Jr.,MIN,0.7,25,50.0,
Alondes Williams,MIA,0.7,7,25.0,
Jalen Slawson,SAC,0.7,12,66.7,
Pat Spencer,GSW,0.7,6,50.0,
Quenton Jackson,IND,0.7,3,0.0,
Shaquille Harrison,MEM,0.7,3,50.0,
Juan Toscano-Anderson,SAC,0.6,11,25.0,
E.J. Liddell,NOP,0.5,8,16.7,
Usman Garuba,GSW,0.5,6,16.7,
Pete Nance,CLE,0.4,8,16.7,
Maxwell Lewis,LAL,0.3,34,19.0,
Andrew Funk,CHI,0.0,5,0.0,
Danny Green,PHI,0.0,2,0.0,
Dmytro Skapintsev,NYK,0.0,2,0.0,
Jalen Crutcher,NOP,0.0,1,0.0,
Javonte Smart,PHI,0.0,1,0.0,
Justin Jackson,MIN,0.0,2,0.0,
Kaiser Gates,NOP,0.0,1,0.0,
Malcolm Cazalon,DET,0.0,1,0.0,
Ron Harper Jr.,TOR,0.0,1,0.0,
Ryan Arcidiacono,NYK,0.0,20,0.0,
PHI,
